epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,3e-05,0,,,,,,
0,,349,,,,,0.7546907663345337,0.8903148174285889
0,,349,,,0.680774986743927,1.3714674711227417,,
,3e-05,350,,,,,,
1,,699,,,,,0.8102849125862122,0.6263582706451416
1,,699,,,0.8281967043876648,0.5421957969665527,,
,3e-05,700,,,,,,
2,,1049,,,,,0.841973602771759,0.5107890367507935
2,,1049,,,0.8909388780593872,0.3004452586174011,,
,3e-05,1050,,,,,,
3,,1399,,,,,0.8649061918258667,0.43081164360046387
3,,1399,,,0.93394935131073,0.17994850873947144,,
,3e-05,1400,,,,,,
4,,1749,,,,,0.8763030171394348,0.4002130329608917
4,,1749,,,0.955976128578186,0.11449286341667175,,
,3e-05,1750,,,,,,
5,,2099,,,,,0.8820013999938965,0.38290882110595703
5,,2099,,,0.9723398089408875,0.07446970045566559,,
,3e-05,2100,,,,,,
6,,2449,,,,,0.8910354375839233,0.36495721340179443
6,,2449,,,0.9833084940910339,0.04856686666607857,,
,3e-05,2450,,,,,,
7,,2799,,,,,0.8982626795768738,0.35942745208740234
7,,2799,,,0.9890313148498535,0.034386586397886276,,
,3e-05,2800,,,,,,
8,,3149,,,,,0.9017373323440552,0.35054856538772583
8,,3149,,,0.9934425950050354,0.023639295250177383,,
,3e-05,3150,,,,,,
9,,3499,,,,,0.9043780565261841,0.35082900524139404
9,,3499,,,0.9953204393386841,0.017707528546452522,,
10,,3500,0.9026018977165222,0.36817869544029236,,,,
