image,split,class,spai
151_sdv4_00040.jpg,test,1,0.9999916553497314
082_sdv5_00079.jpg,test,1,1.0
VQDM_1000_200_09_931_vqdm_00111.jpg,test,1,1.0
759_biggan_00021.jpg,test,1,0.28013309836387634
011_sdv4_00126.jpg,test,1,0.9999998807907104
GLIDE_1000_200_03_300_glide_00110.jpg,test,1,1.0
294_sdv5_00007.jpg,test,1,1.0
401_biggan_00148.jpg,test,1,4.356305381508106e-34
VQDM_1000_200_00_058_vqdm_00160.jpg,test,1,1.0
209_biggan_00008.jpg,test,1,1.284183485010052e-28
999_sdv5_00146.jpg,test,1,1.0
163_adm_124.jpg,test,1,0.9997928738594055
VQDM_1000_200_05_599_vqdm_00002.jpg,test,1,1.0
588_adm_185.jpg,test,1,0.999297022819519
613_wukong_image19.jpg,test,1,1.0
420_midjourney_73.jpg,test,1,0.9974634647369385
149_adm_149.jpg,test,1,0.9985139966011047
736_wukong_image4.jpg,test,1,0.9999996423721313
77_midjourney_185.jpg,test,1,1.0
372_adm_53.jpg,test,1,0.982446551322937
904_midjourney_135.jpg,test,1,1.0
536_sdv4_00000.jpg,test,1,1.0
518_midjourney_26.jpg,test,1,5.2127875278529245e-06
VQDM_1000_200_08_893_vqdm_00047.jpg,test,1,0.797744870185852
69_midjourney_35.jpg,test,1,0.9982176423072815
764_biggan_00028.jpg,test,1,2.4789763575228108e-09
474_sdv4_00082.jpg,test,1,1.0
312_adm_149.jpg,test,1,1.0
802_sdv4_00000.jpg,test,1,1.0
242_wukong_image176.jpg,test,1,1.0
058_sdv4_00160.jpg,test,1,1.0
VQDM_1000_200_08_872_vqdm_00170.jpg,test,1,0.6445816159248352
VQDM_1000_200_08_856_vqdm_00150.jpg,test,1,0.7357234358787537
613_sdv4_00053.jpg,test,1,1.0
605_biggan_00185.jpg,test,1,1.018008665239949e-16
070_biggan_00036.jpg,test,1,8.906376751838252e-05
GLIDE_1000_200_09_994_glide_00113.jpg,test,1,0.006212460808455944
629_sdv4_00045.jpg,test,1,1.0
714_adm_50.jpg,test,1,1.0
VQDM_1000_200_07_721_vqdm_00111.jpg,test,1,1.0
214_midjourney_53.jpg,test,1,0.9311303496360779
394_biggan_00030.jpg,test,1,0.4864744544029236
211_wukong_image173.jpg,test,1,1.0
450_biggan_00165.jpg,test,1,0.1868095099925995
316_adm_101.jpg,test,1,8.29979035188444e-05
635_wukong_image172.jpg,test,1,1.0
549_wukong_image39.jpg,test,1,1.0
901_sdv4_00059.jpg,test,1,1.0
754_wukong_image178.jpg,test,1,1.0
VQDM_1000_200_05_533_vqdm_00084.jpg,test,1,1.0
484_sdv5_00002.jpg,test,1,1.0
989_sdv4_00159.jpg,test,1,1.0
918_sdv5_00076.jpg,test,1,1.0
874_adm_177.jpg,test,1,0.9999994039535522
825_wukong_image158.jpg,test,1,1.0
082_sdv5_00148.jpg,test,1,1.0
VQDM_1000_200_09_994_vqdm_00113.jpg,test,1,1.0
406_wukong_image12.jpg,test,1,1.0
679_midjourney_174.jpg,test,1,1.0
577_adm_45.jpg,test,1,1.0
GLIDE_1000_200_05_530_glide_00140.jpg,test,1,0.8854724168777466
488_sdv5_00176.jpg,test,1,1.0
660_adm_29.jpg,test,1,1.0
281_wukong_image38.jpg,test,1,0.9998987913131714
465_adm_12.jpg,test,1,1.0
872_sdv4_00136.jpg,test,1,1.0
VQDM_1000_200_07_736_vqdm_00163.jpg,test,1,0.9476954936981201
VQDM_1000_200_09_936_vqdm_00157.jpg,test,1,1.0
889_sdv4_00109.jpg,test,1,1.0
582_sdv5_00061.jpg,test,1,1.0
GLIDE_1000_200_07_720_glide_00172.jpg,test,1,1.0
219_wukong_image185.jpg,test,1,1.0
GLIDE_1000_200_07_790_glide_00159.jpg,test,1,1.0
614_sdv4_00179.jpg,test,1,1.0
904_sdv4_00087.jpg,test,1,1.0
